Word,Rank,Frequency
much:,3059,2
vp.,3060,2
clay,3061,2
rushing,3062,2
wings,3063,2
'em?,3064,2
field,3065,2
fares,3066,2
deceiu'd:,3067,2
pitteous,3068,2
warre:,3069,2
exalted,3070,2
"who,",3071,2
"yoake,",3072,2
swords:,3073,2
poleak:,3074,2
"sardis,",3075,2
dead:,3076,2
hither?,3077,2
ocean,3078,2
spurnes,3079,2
blew,3080,2
"burnes,",3081,2
"fat,",3082,2
[the,3083,2
gertrude:,3084,2
dust?,3085,2
enuy,3086,2
sence,3087,2
"gate,",3088,2
"lyon,",3089,2
expell,3090,2
occasion,3091,2
thicke,3092,2
"cup,",3093,2
slay,3094,2
saying,3095,2
"shew,",3096,2
begun,3097,2
marke.,3098,2
thee:,3099,2
peace:,3100,2
(almost),3101,2
aye,3102,2
"playing,",3103,2
met,3104,2
reason.,3105,2
daughter:,3106,2
spade;,3107,2
march.,3108,2
"tent,",3109,2
"modestie,",3110,2
wonder,3111,2
this;,3112,2
armes?,3113,2
forbid,3114,2
auoyd,3115,2
groaning,3116,2
affaire,3117,2
noted,3118,2
name?,3119,2
"limbes,",3120,2
companies,3121,2
cost,3122,2
priests,3123,2
senselesse,3124,2
gate,3125,2
imperiall,3126,2
armour,3127,2
tenders,3128,2
men;,3129,2
glory,3130,2
sacred,3131,2
vnworthy,3132,2
wonted,3133,2
astonish,3134,2
"harke,",3135,2
ape,3136,2
"memorie,",3137,2
"heauy,",3138,2
"wildenesse,",3139,2
contagion,3140,2
hole,3141,2
generous,3142,2
persons,3143,2
grosse,3144,2
stay'd,3145,2
clitus:,3146,2
"portia,",3147,2
ambassadors,3148,2
"swearing,",3149,2
warre,3150,2
merit,3151,2
"quicke,",3152,2
carue,3153,2
"snow,",3154,2
"osricke,",3155,2
tending,3156,2
seene:,3157,2
leane,3158,2
else:,3159,2
louer,3160,2
"liuing,",3161,2
"twelue,",3162,2
stand.,3163,2
laughter,3164,2
terme,3165,2
country-men,3166,2
quantitie,3167,2
"bondman,",3168,2
"iudgement,",3169,2
"thinking,",3170,2
fawne,3171,2
lyons,3172,2
nunnery.,3173,2
parting,3174,2
return'd,3175,2
rotten,3176,2
feed,3177,2
portia:,3178,2
faithfull,3179,2
mine.,3180,2
"encounter,",3181,2
gowne.,3182,2
lady?,3183,2
"rat,",3184,2
"tragedie,",3185,2
deckt,3186,2
like:,3187,2
deerely,3188,2
"themselues,",3189,2
"seeke,",3190,2
lobby,3191,2
spring,3192,2
meerely,3193,2
fashion.,3194,2
moneths,3195,2
suffering,3196,2
shold,3197,2
shaking,3198,2
gifts,3199,2
mutes,3200,2
"bookes,",3201,2
in't;,3202,2
wrath,3203,2
scandall,3204,2
saide,3205,2
riu'd,3206,2
seen,3207,2
england?,3208,2
among,3209,2
said.,3210,2
compell'd,3211,2
musicke.,3212,2
away?,3213,2
sticke,3214,2
"aliue,",3215,2
"cannot,",3216,2
alone.,3217,2
"condition,",3218,2
spurne,3219,2
dyes,3220,2
cly.,3221,2
slew,3222,2
prize,3223,2
"return'd,",3224,2
sinnes,3225,2
disposition,3226,2
too?,3227,2
bids,3228,2
stomacke,3229,2
tongue:,3230,2
post,3231,2
guest,3232,2
strings,3233,2
pestilent,3234,2
mart,3235,2
silence.,3236,2
"battaile,",3237,2
"neere,",3238,2
together.,3239,2
"weaknesse,",3240,2
calphurnia's,3241,2
potent,3242,2
pluck,3243,2
sourse,3244,2
"impossible,",3245,2
dar'st,3246,2
comes:,3247,2
cato's,3248,2
ceremony.,3249,2
"doores,",3250,2
ready?,3251,2
yeare.,3252,2
grant,3253,2
titinius.,3254,2
"iest,",3255,2
deliuer'd,3256,2
loath,3257,2
volt.,3258,2
woman;,3259,2
1.ple.,3260,2
cheefe,3261,2
hoe.,3262,2
weary,3263,2
"warning,",3264,2
catch,3265,2
"mettle,",3266,2
greeue,3267,2
angels,3268,2
"figure,",3269,2
hearts:,3270,2
answer:,3271,2
beholding,3272,2
madnesse:,3273,2
houses,3274,2
"closset,",3275,2
fate,3276,2
vnion,3277,2
abide,3278,2
"therefore,",3279,2
"flat,",3280,2
push,3281,2
eye.,3282,2
"field,",3283,2
discouer,3284,2
"powers,",3285,2
costly,3286,2
ha.,3287,2
"gaming,",3288,2
constantly,3289,2
pursue,3290,2
therein,3291,2
field.,3292,2
scoena,3293,2
promise,3294,2
"reason,",3295,2
garden,3296,2
wag,3297,2
"conspiracie,",3298,2
dayes.,3299,2
remaine,3300,2
seuen,3301,2
discomfort,3302,2
ligarius.,3303,2
"feathers,",3304,2
impatience,3305,2
crew,3306,2
agen,3307,2
head:,3308,2
slaine,3309,2
ladies:,3310,2
remainder,3311,1
proportions,3312,1
tell.,3313,1
cares,3314,1
reynoldo,3315,1
vnkle.,3316,1
placed,3317,1
"kisses,",3318,1
"picked,",3319,1
break.,3320,1
absent,3321,1
elephants,3322,1
phrase:,3323,1
caska's;,3324,1
lawes,3325,1
poyson'd:,3326,1
"borne,",3327,1
"awe,",3328,1
hall;,3329,1
sweepe,3330,1
entreatie,3331,1
"perpend,",3332,1
"bird,",3333,1
leuying,3334,1
treble,3335,1
"obseru'd,",3336,1
claudio,3337,1
trulie:,3338,1
oathes,3339,1
tugging,3340,1
"fixt,",3341,1
"dore,",3342,1
"faces,",3343,1
indeed:,3344,1
vowes;,3345,1
"gentlewoman,",3346,1
lethe,3347,1
shreeking.,3348,1
stoode,3349,1
grauity,3350,1
affection,3351,1
puh.,3352,1
busines,3353,1
counsellor,3354,1
malefactions.,3355,1
inuentors,3356,1
iot.,3357,1
lock'd.,3358,1
"bias,",3359,1
vnimproued,3360,1
luxury,3361,1
trippingly,3362,1
"aloofe,",3363,1
forgaue,3364,1
thereon;,3365,1
inuestments,3366,1
mayest,3367,1
dry,3368,1
vngorg'd.,3369,1
"longer,",3370,1
"enemies,",3371,1
chollericke,3372,1
truth?,3373,1
audit,3374,1
shake;,3375,1
"deafe,",3376,1
stand:,3377,1
entrance,3378,1
dreame:,3379,1
"torch-light,",3380,1
"exorcist,",3381,1
"post-hast,",3382,1
notes,3383,1
northerly,3384,1
rac'd,3385,1
gonzago,3386,1
cinna?,3387,1
minds,3388,1
"thaw,",3389,1
guildenstern:,3390,1
truly.,3391,1
compasse:,3392,1
troopes,3393,1
"profound,",3394,1
grug'd,3395,1
whelped,3396,1
"girle,",3397,1
lodge,3398,1
legs,3399,1
constant:,3400,1
anticipation,3401,1
labour.,3402,1
vp-hoorded,3403,1
louing:,3404,1
vnforc'd,3405,1
buy;,3406,1
compost,3407,1
"stayes,",3408,1
"wish'd,",3409,1
me!,3410,1
diet.,3411,1
sides;,3412,1
"doue,",3413,1
o'remaster't,3414,1
prating,3415,1
informe,3416,1
barke,3417,1
cogitations.,3418,1
duls,3419,1
argall,3420,1
grapple,3421,1
beauer,3422,1
grone:,3423,1
seduce?,3424,1
smile;,3425,1
"seas,",3426,1
hinder,3427,1
wooes,3428,1
dismisse,3429,1
garlands,3430,1
clambring,3431,1
"fates,",3432,1
spoke.,3433,1
bowle,3434,1
no?,3435,1
piercing,3436,1
deceiued,3437,1
"soldier,",3438,1
musicke;,3439,1
pure.,3440,1
hellish,3441,1
"temper,",3442,1
nunnery,3443,1
streets?,3444,1
iudgement!,3445,1
take:,3446,1
frost,3447,1
truncheons,3448,1
effects:,3449,1
chanc'd.,3450,1
"stalke,",3451,1
entrailes.,3452,1
"yonder,",3453,1
wonderfull?,3454,1
sextons,3455,1
remoued,3456,1
reuennew,3457,1
"betoken,",3458,1
eares;,3459,1
"louer,",3460,1
pride),3461,1
ore-stop,3462,1
embracing,3463,1
carriage,3464,1
"remaines,",3465,1
sage,3466,1
liue-long,3467,1
strong.,3468,1
"law,",3469,1
"oakes,",3470,1
"amazement,",3471,1
while:,3472,1
disposition;,3473,1
herbe-grace,3474,1
good-night,3475,1
ioyntresse,3476,1
selfe-,3477,1
tarry,3478,1
"milke,",3479,1
tear,3480,1
patientlie,3481,1
"stare,",3482,1
(horatio),3483,1
acquittance,3484,1
softly,3485,1
you),3486,1
grone,3487,1
prate,3488,1
affear'd,3489,1
awe?,3490,1
grosser,3491,1
choppine.,3492,1
"pleas'd,",3493,1
"diuided,",3494,1
"possible,",3495,1
faiery,3496,1
commandment,3497,1
disposing,3498,1
"into,",3499,1
marcell.,3500,1
maist,3501,1
hats,3502,1
lacke:,3503,1
brother?,3504,1
padling,3505,1
"mooue,",3506,1
summe.,3507,1
"booke,",3508,1
o!,3509,1
"winkes,",3510,1
leafe,3511,1
coynage,3512,1
angel.,3513,1
"murthered,",3514,1
drum,3515,1
vntimely,3516,1
wherefore?,3517,1
within:,3518,1
kindle,3519,1
tyred,3520,1
"beard,",3521,1
turneth,3522,1
droppings,3523,1
blankes,3524,1
glories,3525,1
yeare,3526,1
crocodile?,3527,1
button,3528,1
allowance,3529,1
swim,3530,1
hap,3531,1
his.,3532,1
"ingratitude,",3533,1
halt,3534,1
fauour.,3535,1
bay'd,3536,1
now),3537,1
denmark's,3538,1
question:,3539,1
"stabb'd,",3540,1
vs'd:,3541,1
"philosophy,",3542,1
"mouse,",3543,1
euents,3544,1
"cliffe,",3545,1
auouch,3546,1
flushing,3547,1
church,3548,1
likely,3549,1
carkasse,3550,1
mouse-trap:,3551,1
yoricks,3552,1
shrow'd,3553,1
"vnnaturall,",3554,1
thou:,3555,1
vanquish'd,3556,1
"purples,",3557,1
drag'd,3558,1
ennactors,3559,1
remoue,3560,1
she.,3561,1
"purgation,",3562,1
strew'd,3563,1
bubbles,3564,1
"reeles,",3565,1
sodainely,3566,1
sweete:,3567,1
confounded,3568,1
crye,3569,1
villains:,3570,1
lena,3571,1
"sphere,",3572,1
wish.,3573,1
bait,3574,1
"rascall,",3575,1
"liued,",3576,1
looke?,3577,1
bosome:,3578,1
cognisance.,3579,1
cure,3580,1
dearly;,3581,1
appearing,3582,1
"pulpit,",3583,1
dwelling,3584,1
free-men?,3585,1
physicall,3586,1
season'd,3587,1
cassius;,3588,1
blood),3589,1
spectators,3590,1
henceforth,3591,1
liu'd,3592,1
grained,3593,1
obiect,3594,1
fatted,3595,1
"salt,",3596,1
"fear'd,",3597,1
center,3598,1
lowlynesse,3599,1
"chaire,",3600,1
matine,3601,1
one),3602,1
"murther,",3603,1
violets,3604,1
sayings,3605,1
flood,3606,1
honie,3607,1
sing?,3608,1
"scul,",3609,1
suspiration,3610,1
dirt,3611,1
knocks:,3612,1
melting,3613,1
"players,",3614,1
maiesticke,3615,1
thereabout,3616,1
ha:,3617,1
actions,3618,1
indifferently:,3619,1
hammers,3620,1
ielly,3621,1
thinkst,3622,1
drooping,3623,1
stubborne,3624,1
earely,3625,1
"wanton,",3626,1
conception,3627,1
calphurnia:,3628,1
appurtenance,3629,1
"importunate,",3630,1
"twenty,",3631,1
"tricke,",3632,1
ingratitude,3633,1
"adder,",3634,1
"reuengefull,",3635,1
"mid-night,",3636,1
"diet,",3637,1
pitty:,3638,1
scapes,3639,1
alone:,3640,1
continuall,3641,1
"learn'd,",3642,1
ayme,3643,1
"gidge,",3644,1
"chorus,",3645,1
truster,3646,1
enemy:,3647,1
"close,",3648,1
"froward,",3649,1
discourse.,3650,1
sunne:,3651,1
vnrung.,3652,1
we?,3653,1
vnluckily,3654,1
gambals?,3655,1
answered?,3656,1
knew'st,3657,1
reignes,3658,1
dreames.,3659,1
congregation,3660,1
rauen,3661,1
ardure,3662,1
drossie,3663,1
writers,3664,1
expostulate,3665,1
vnshak'd,3666,1
snow?,3667,1
"wrist,",3668,1
vnseale,3669,1
spake,3670,1
shepheards,3671,1
"laments,",3672,1
time;,3673,1
"toucht,",3674,1
enters.,3675,1
ought;,3676,1
"liu'd,",3677,1
toyle?,3678,1
"rouce,",3679,1
"we,",3680,1
"chide,",3681,1
"plots,",3682,1
vnshaped,3683,1
shop,3684,1
exception,3685,1
forgot:,3686,1
slaine.,3687,1
standing,3688,1
darkest,3689,1
lionnesse,3690,1
ayrie,3691,1
property:,3692,1
witching,3693,1
yeomans,3694,1
come?,3695,1
bestride,3696,1
"recognizances,",3697,1
curtesie.,3698,1
mother),3699,1
honestie?,3700,1
"interpreted,",3701,1
statists,3702,1
verse,3703,1
conioyntly,3704,1
his;,3705,1
"chace,",3706,1
vexed,3707,1
left:,3708,1
"swell,",3709,1
vulgar:,3710,1
discord,3711,1
"sparke,",3712,1
deed.,3713,1
needes,3714,1
modestly,3715,1
corpes,3716,1
sayes:,3717,1
owle,3718,1
"happy,",3719,1
knockes:,3720,1
"rewards,",3721,1
teethes,3722,1
augury;,3723,1
"simple,",3724,1
"seat,",3725,1
sandal,3726,1
vnscorch'd.,3727,1
impasted,3728,1
"comes,",3729,1
"ring,",3730,1
perseuer,3731,1
sayest,3732,1
"murellus,",3733,1
"cheeke,",3734,1
"speed,",3735,1
heauen-kissing,3736,1
"aboord,",3737,1
carters,3738,1
dirty,3739,1
op'd,3740,1
age.,3741,1
bond-man:,3742,1
bapt.,3743,1
a-downe-a.,3744,1
by:,3745,1
rot?,3746,1
intrailes,3747,1
flatterers.,3748,1
"especially,",3749,1
prey,3750,1
wafter,3751,1
combate.,3752,1
commanded,3753,1
guiltinesse:,3754,1
inky,3755,1
abus'd:,3756,1
hecticke,3757,1
matters;,3758,1
method,3759,1
foh.,3760,1
first:,3761,1
stay:,3762,1
epicurus,3763,1
transformed,3764,1
solidity,3765,1
graues.,3766,1
"beast,",3767,1
romane,3768,1
"theatre,",3769,1
soules:,3770,1
attends,3771,1
hand?,3772,1
pyrate,3773,1
workes.,3774,1
leaue.,3775,1
wed,3776,1
"outlarie,",3777,1
"crust,",3778,1
effect?,3779,1
trumpet.,3780,1
hart:,3781,1
affaires,3782,1
fearefulnesse.,3783,1
stealing,3784,1
proiect,3785,1
arme:,3786,1
particular:,3787,1
part),3788,1
brest:,3789,1
"creature,",3790,1
"excrements,",3791,1
"sort,",3792,1
mould,3793,1
pleasures:,3794,1
was),3795,1
"drown'd,",3796,1
doe?,3797,1
sigh,3798,1
quake,3799,1
blood;,3800,1
spring.,3801,1
impatiently,3802,1
stay?,3803,1
coward?,3804,1
"consequence,",3805,1
abstracts,3806,1
buzzers,3807,1
vttermost?,3808,1
reuerend,3809,1
sutor,3810,1
"work,",3811,1
question?,3812,1
"pay,",3813,1
"ghosts,",3814,1
crept,3815,1
elements,3816,1
presures,3817,1
think'st,3818,1
admiration?,3819,1
dexterity,3820,1
lines:,3821,1
notwithstanding,3822,1
"fond,",3823,1
vengeance!,3824,1
"property,",3825,1
fore-stalled,3826,1
estimation,3827,1
trace,3828,1
pole:,3829,1
street,3830,1
beleeued,3831,1
secret?,3832,1
priams,3833,1
suck't,3834,1
rule,3835,1
"flies,",3836,1
stopping,3837,1
coine,3838,1
selfe-slaughter.,3839,1
strife,3840,1
"honors,",3841,1
"sacrifice,",3842,1
"read,",3843,1
vsurp'st,3844,1
prolongs,3845,1
blanke,3846,1
lender,3847,1
"already,",3848,1
"carbuncles,",3849,1
"blowne,",3850,1
"order,",3851,1
"battlements,",3852,1
sham'st,3853,1
shores,3854,1
seriuce:,3855,1
sleep'st;,3856,1
dreamt,3857,1
"alchymie,",3858,1
restore,3859,1
valour.,3860,1
commoners,3861,1
innocculate,3862,1
"faithfull,",3863,1
"gaze,",3864,1
"mind,",3865,1
"melt,",3866,1
"clymate,",3867,1
hum.,3868,1
"window,",3869,1
bodies;,3870,1
"frailty,",3871,1
ship,3872,1
stopp,3873,1
traitors:,3874,1
heare?,3875,1
"few,",3876,1
whereas,3877,1
doth:,3878,1
imediate,3879,1
"greeued,",3880,1
honours,3881,1
windowes,3882,1
"howre,",3883,1
"giue,",3884,1
"norman,",3885,1
"keepe,",3886,1
chappell.,3887,1
"safely,",3888,1
"opinion,",3889,1
melteth,3890,1
march:,3891,1
push:,3892,1
"lightnesse,",3893,1
"boldest,",3894,1
hurtled,3895,1
dew:,3896,1
gonzago?,3897,1
slept,3898,1
leanes,3899,1
ranck,3900,1
ont.,3901,1
"perils,",3902,1
"becke,",3903,1
dispriz'd,3904,1
"habite,",3905,1
offices,3906,1
"picture,",3907,1
"engagements,",3908,1
orbed,3909,1
stuffe;,3910,1
neats,3911,1
chance:,3912,1
liquid,3913,1
offend,3914,1
attractiue,3915,1
confidence:,3916,1
showted,3917,1
speede,3918,1
baby,3919,1
candied,3920,1
"wretch,",3921,1
iohn,3922,1
"pictures,",3923,1
leaperous,3924,1
enemy?,3925,1
breeding,3926,1
"weedes,",3927,1
affraide,3928,1
grop'd,3929,1
serious,3930,1
cheff,3931,1
"call'd,",3932,1
"gather,",3933,1
arriu'd:,3934,1
"common,",3935,1
motion,3936,1
"excellence,",3937,1
longer),3938,1
harlots,3939,1
"immortall,",3940,1
fatnesse,3941,1
"mermaid-like,",3942,1
party-,3943,1
range.,3944,1
window,3945,1
bigge:,3946,1
hunts,3947,1
pluck'd,3948,1
"ioyes,",3949,1
forfeite,3950,1
cried,3951,1
4.ple.,3952,1
adulterate,3953,1
extent,3954,1
"houses,",3955,1
statillius,3956,1
ore-beares,3957,1
pace;,3958,1
"presse,",3959,1
wofull,3960,1
"offendendo,",3961,1
offends,3962,1
father.,3963,1
knotty,3964,1
starling.,3965,1
"certaine,",3966,1
lowly,3967,1
wholsom,3968,1
should:,3969,1
"wholsome,",3970,1
"retyrement,",3971,1
party,3972,1
"silence,",3973,1
roares,3974,1
darknesse,3975,1
knees,3976,1
riuet,3977,1
since?,3978,1
ate,3979,1
"ago,",3980,1
peace.,3981,1
vppe,3982,1
deiected,3983,1
"sadnesse,",3984,1
"braue,",3985,1
sparkes,3986,1
heart!,3987,1
ouerlook'd,3988,1
mad;,3989,1
calfe,3990,1
mischeefes.,3991,1
articles,3992,1
goblin,3993,1
leysure),3994,1
reueller,3995,1
prankes,3996,1
(boy),3997,1
poure,3998,1
security,3999,1
diseas'd.,4000,1
"fellowship,",4001,1
lie,4002,1
couched,4003,1
defeate,4004,1
warriours,4005,1
obey.,4006,1
"seen,",4007,1
person:,4008,1
"flint,",4009,1
"praying,",4010,1
visite,4011,1
"faulconers,",4012,1
crab,4013,1
"senate,",4014,1
dar'd,4015,1
wishes,4016,1
"wormes,",4017,1
prologue,4018,1
ignorance.,4019,1
they?,4020,1
likes:,4021,1
threaten'd,4022,1
"falshood,",4023,1
"another,",4024,1
"walkes,",4025,1
story,4026,1
errands:,4027,1
"high,",4028,1
impatient,4029,1
changed,4030,1
reckon,4031,1
"especiall,",4032,1
command'ment:,4033,1
repentance,4034,1
whale,4035,1
thou-,4036,1
partake,4037,1
respects,4038,1
"rapiers,",4039,1
statue:,4040,1
"wheele,",4041,1
confin'd,4042,1
"absence,",4043,1
bodie,4044,1
indeede;,4045,1
giuers,4046,1
leades,4047,1
ioyn'd,4048,1
grow:,4049,1
"iulius,",4050,1
banish'd,4051,1
sleepes.,4052,1
residence,4053,1
deuotions,4054,1
tax,4055,1
"acts,",4056,1
standing.,4057,1
hoopes,4058,1
burnes.,4059,1
chamber,4060,1
encombred,4061,1
"daysies,",4062,1
mood,4063,1
reason;,4064,1
clout,4065,1
sword:,4066,1
"malice,",4067,1
stickes,4068,1
"hecuba,",4069,1
re-deliuer.,4070,1
swimme,4071,1
"pre-ordinance,",4072,1
pinch,4073,1
gastly,4074,1
hent,4075,1
lungs?,4076,1
"doome,",4077,1
"followes,",4078,1
scorn'd,4079,1
vnholy,4080,1
vttered;,4081,1
"warrantie,",4082,1
'twer,4083,1
thinke't,4084,1
crie,4085,1
mean'st,4086,1
matter;,4087,1
"glean'd,",4088,1
vnsifted,4089,1
fitted,4090,1
followes.,4091,1
beere-barrell?,4092,1
hymen,4093,1
(sweet,4094,1
putting,4095,1
"blaze,",4096,1
smoothnesse.,4097,1
antiquity,4098,1
villaines,4099,1
"slightly,",4100,1
lying,4101,1
"rose,",4102,1
dwelling:,4103,1
forgone,4104,1
finds,4105,1
peoples,4106,1
yonger,4107,1
"fee,",4108,1
iournies,4109,1
octauius.,4110,1
towres,4111,1
"absurd,",4112,1
scoene,4113,1
sadly,4114,1
"hermony,",4115,1
prouinciall,4116,1
"prou'd,",4117,1
duty?,4118,1
lucius?,4119,1
selues:,4120,1
considered:,4121,1
meate,4122,1
"fortunate,",4123,1
eagerly:,4124,1
"curles,",4125,1
theame?,4126,1
pastime.,4127,1
lawyer?,4128,1
vnmastred,4129,1
leane.,4130,1
wood,4131,1
hoby-horse,4132,1
"throng,",4133,1
"kneeles,",4134,1
i'de,4135,1
discretion.,4136,1
vnschool'd:,4137,1
truepenny?,4138,1
"scoene,",4139,1
reynoldo.,4140,1
honying,4141,1
(alas),4142,1
"robe,",4143,1
ladder,4144,1
sea-gowne,4145,1
"inuenomed,",4146,1
beetles,4147,1
dint,4148,1
dreaded,4149,1
accident.,4150,1
known,4151,1
quest,4152,1
louest,4153,1
"tame,",4154,1
setting,4155,1
defie,4156,1
appeares.,4157,1
steepe,4158,1
vgly,4159,1
barr'd,4160,1
"beside,",4161,1
arrests,4162,1
bountie.,4163,1
ayme:,4164,1
"distresse,",4165,1
sisters,4166,1
oppressors,4167,1
prai'st,4168,1
hatefull,4169,1
more?,4170,1
"highnesse,",4171,1
repayre,4172,1
romage,4173,1
thirty,4174,1
fighting,4175,1
termagant:,4176,1
abuse;,4177,1
"gentrie,",4178,1
euer:,4179,1
quoth,4180,1
thereof,4181,1
hye,4182,1
surest,4183,1
"shirt,",4184,1
whipping:,4185,1
warnings,4186,1
scarft,4187,1
"melancholly,",4188,1
"proclaime,",4189,1
instance,4190,1
fashion),4191,1
"wager,",4192,1
fellow.,4193,1
"barnardo,",4194,1
satisfie,4195,1
stonie,4196,1
arrow,4197,1
"leade,",4198,1
precedent,4199,1
puzels,4200,1
rankes,4201,1
pickers,4202,1
betimes?,4203,1
faction.,4204,1
declining,4205,1
scedule,4206,1
can.,4207,1
pile,4208,1
lookes:,4209,1
sinners?,4210,1
doomesday:,4211,1
betwixt,4212,1
"water,",4213,1
verses,4214,1
perfections.,4215,1
pittied,4216,1
vnfirme?,4217,1
forgot.,4218,1
pleasures,4219,1
outragious,4220,1
monsters,4221,1
firebrands:,4222,1
chappell,4223,1
vpon't:,4224,1
"ouerthrowne,",4225,1
doom'd,4226,1
attent,4227,1
battalians.,4228,1
assaid;,4229,1
bay,4230,1
"contriuing,",4231,1
mouse,4232,1
east,4233,1
lasts,4234,1
ther's,4235,1
"treacherous,",4236,1
vncle?,4237,1
likeliehood,4238,1
guide,4239,1
"begun,",4240,1
"arose,",4241,1
"billow,",4242,1
distemper'd,4243,1
quintessence,4244,1
tokens,4245,1
watchfull,4246,1
legacie,4247,1
heartily:,4248,1
enlarge,4249,1
(fellow,4250,1
"borrower,",4251,1
poland,4252,1
thigh:,4253,1
speechlesse,4254,1
penetrable,4255,1
mining,4256,1
shriller,4257,1
contracted,4258,1
"money,",4259,1
shame:,4260,1
"wall,",4261,1
lids,4262,1
beckens,4263,1
sight?,4264,1
stroken,4265,1
vnkle:,4266,1
"voltemand,",4267,1
"ladder,",4268,1
galls,4269,1
husbanded?,4270,1
veyled,4271,1
arraigne,4272,1
melodious,4273,1
accepts,4274,1
apparell,4275,1
ingag'd:,4276,1
antonies,4277,1
stolne,4278,1
illusion:,4279,1
organ.,4280,1
iudges,4281,1
"apes,",4282,1
wheaten,4283,1
groane,4284,1
sheep-skinnes?,4285,1
"holds,",4286,1
swell,4287,1
"pipes,",4288,1
o'this,4289,1
fruitfull,4290,1
dil'd,4291,1
erebus,4292,1
'tane,4293,1
"temper'd,",4294,1
outface,4295,1
indiscretion,4296,1
freedome;,4297,1
sway,4298,1
antike,4299,1
"historie,",4300,1
creepe,4301,1
ioyfully,4302,1
caius:,4303,1
yeelded,4304,1
(except,4305,1
groundlings:,4306,1
beteene,4307,1
through:,4308,1
"slips,",4309,1
"beer,",4310,1
drown'd!,4311,1
losse!,4312,1
female,4313,1
"many,",4314,1
answers,4315,1
contrary,4316,1
indirections,4317,1
rage?,4318,1
"wisedom,",4319,1
tenure,4320,1
aboue.,4321,1
vnite,4322,1
goblins,4323,1
heathen?,4324,1
mean,4325,1
"dispatch,",4326,1
did'st:,4327,1
intill,4328,1
rub,4329,1
"rate,",4330,1
repugnant,4331,1
orizons,4332,1
blench,4333,1
mountebanke,4334,1
afarre,4335,1
"trappings,",4336,1
making;,4337,1
"greefes,",4338,1
"aduanc'd,",4339,1
opinions;,4340,1
practice;,4341,1
bang,4342,1
flatter'd?,4343,1
bowl,4344,1
hated,4345,1
absurd,4346,1
"safety,",4347,1
dis-ioynes,4348,1
"babe,",4349,1
beginning,4350,1
lowdly,4351,1
reuerted,4352,1
declension,4353,1
plaist'ring,4354,1
racke,4355,1
sending,4356,1
"greatnesse,",4357,1
drachmaes,4358,1
"tenders,",4359,1
amaz'd,4360,1
addresse,4361,1
thunder-stone:,4362,1
wonderfull,4363,1
freedome,4364,1
estate.,4365,1
"neede,",4366,1
circumuent,4367,1
indiuidible:,4368,1
deriu'd,4369,1
reioyce?,4370,1
stockings,4371,1
"sparkes,",4372,1
"phantasma,",4373,1
hyperions,4374,1
"wherein,",4375,1
"banish'd,",4376,1
compelled,4377,1
hang;,4378,1
"sounded,",4379,1
"pulpits,",4380,1
reaks,4381,1
vol.,4382,1
hounds:,4383,1
houses.,4384,1
mightier,4385,1
him),4386,1
medicine,4387,1
motiues,4388,1
barnardo.,4389,1
traitor,4390,1
"aduice,",4391,1
ayre;,4392,1
counters,4393,1
lost:,4394,1
cum,4395,1
out?,4396,1
distemper?,4397,1
shrieke,4398,1
"cerments,",4399,1
quartered,4400,1
scarce,4401,1
waile,4402,1
implements,4403,1
"court,",4404,1
neighbour'd,4405,1
"countrey-men,",4406,1
blood?,4407,1
leuied,4408,1
hauiour,4409,1
behauiour,4410,1
loose:,4411,1
"cups,",4412,1
gonzago's,4413,1
earnes,4414,1
diuision,4415,1
respect:,4416,1
assistant,4417,1
calamity,4418,1
generall?,4419,1
scant,4420,1
friending,4421,1
treacherie,4422,1
assay:,4423,1
proofe:,4424,1
"better'd,",4425,1
villany!,4426,1
"throw,",4427,1
corruption,4428,1
seas,4429,1
faining?,4430,1
profoundest,4431,1
violence,4432,1
cue,4433,1
"silent,",4434,1
nice,4435,1
"perchance,",4436,1
coniunctiue,4437,1
ranke:,4438,1
rebuke,4439,1
fetters,4440,1
thriue,4441,1
"extrauagant,",4442,1
perswade,4443,1
denote,4444,1
artlesse,4445,1
particle,4446,1
filiall,4447,1
"apply,",4448,1
machine,4449,1
debt,4450,1
arme?,4451,1
"warres,",4452,1
lighted,4453,1
"thunder-bolts,",4454,1
incest.,4455,1
"peeces,",4456,1
"vndertake,",4457,1
heauen;,4458,1
confine,4459,1
"shakes,",4460,1
sawe,4461,1
fulfill,4462,1
inch,4463,1
shell.,4464,1
"feed,",4465,1
nimblenesse,4466,1
cup,4467,1
"combin'd,",4468,1
iudicious,4469,1
swathing,4470,1
hugge,4471,1
walls,4472,1
ambitious?,4473,1
suite.,4474,1
partizan?,4475,1
non,4476,1
such;,4477,1
(they,4478,1
milche,4479,1
grating,4480,1
faculty,4481,1
gyant-like?,4482,1
turne?,4483,1
forgery,4484,1
eating,4485,1
part:,4486,1
learne,4487,1
fain,4488,1
third.,4489,1
deeds:,4490,1
th'hyrcanian,4491,1
"sweet,",4492,1
north,4493,1
siluer'd,4494,1
operant,4495,1
primy,4496,1
parchment,4497,1
(so,4498,1
mistook,4499,1
steward,4500,1
"falles,",4501,1
"lipps,",4502,1
soil'd,4503,1
"musing,",4504,1
games,4505,1
sixteene,4506,1
sunday,4507,1
aside.,4508,1
lowe,4509,1
eene,4510,1
tyranny,4511,1
(deere,4512,1
"vouchsafe,",4513,1
bodykins,4514,1
"toyles,",4515,1
buffet,4516,1
potently,4517,1
